no,shopname,localname,code1,codename1,code2,codename2,code3,codename3,code4,codename4,citycode,city,gucode,gu,dongcode,dong,jibuaddress,address,oldpostcode,postcode,lng,lat
22997109,짱당구,,N,관광/여가/오락,N01,PC/오락/당구/볼링등,N01A03,당구장,R91135,"당구장 운영업",11,서울특별시,11470,양천구,1147010300,신월동,"서울특별시 양천구 신월동 537-6","서울특별시 양천구 신월로15길 2",158090,8030,""126.842158376459"",""37.5189030227394""
22919833,sbs노래장,,N,관광/여가/오락,N02,무도/유흥/가무,N02A01,노래방,R91223,"노래연습장 운영업",11,서울특별시,11230,동대문구,1123010900,휘경동,"서울특별시 동대문구 휘경동 34-57","서울특별시 동대문구 망우로 116",130090,2501,""127.066024889051"",""37.5909511057191""
22891405,미도방아간기름집,,F,생활서비스,F02,세탁/가사서비스,F02A04,방앗간/정미소,,,11,서울특별시,11215,광진구,1121510100,중곡동,"서울특별시 광진구 중곡동 69-22","서울특별시 광진구 긴고랑로 151",143220,4944,""127.091735020975"",""37.5587590735229""
22846444,클린서울,,F,생활서비스,F02,세탁/가사서비스,F02A05,청소/소독,,,11,서울특별시,11140,중구,1114011300,북창동,"서울특별시 중구 북창동 66","서울특별시 중구 세종대로14길 22-4",100080,4526,""126.977750168529"",""37.5626567660785""
22968744,윤경희,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11230,동대문구,1123011000,이문동,"서울특별시 동대문구 이문동 86-48","서울특별시 동대문구 외대역동로 86",130080,2428,""127.06531991309"",""37.595712045274""
22828621,이비인후과의원,,S,의료,S01,병원,S01B14,이비인후과의원,Q86201,"일반 의원",11,서울특별시,11620,관악구,1162010200,신림동,"서울특별시 관악구 신림동 617-5","서울특별시 관악구 난곡로 202",151880,8854,""126.919143744462"",""37.4730304889767""
22863547,색깔사주,,F,생활서비스,F11,개인서비스,F11A02,운명감정작명,S96992,"점술 및 유사 서비스업",11,서울특별시,11215,광진구,1121510700,화양동,"서울특별시 광진구 화양동 3-42","서울특별시 광진구 능동로13길 6",143914,5011,""127.071449942756"",""37.542526543644""
22897986,토속막걸리,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,"한식 음식점업",26,부산광역시,26380,사하구,2638010300,하단동,"부산광역시 사하구 하단동 504-3","부산광역시 사하구 낙동대로519번길 21",604020,49309,""128.964198244216"",""35.1103364149472""
22830101,안박동물병원,,S,의료,S04,수의업,S04A02,동물병원,M73100,수의업,11,서울특별시,11500,강서구,1150010200,등촌동,"서울특별시 강서구 등촌동 628-13","서울특별시 강서구 양천로 510",157030,7548,""126.856325552031"",""37.5601102850006""
22822919,법무법인진우,,F,생활서비스,F19,법무세무회계,F19B01,법무관련서비스-종합,,,11,서울특별시,11650,서초구,1165010800,서초동,"서울특별시 서초구 서초동 1573-10","서울특별시 서초구 서초중앙로 125",137070,6644,""127.013406047413"",""37.4930026170105""
22821670,더그랜드호텔명동,,O,숙박,O01,호텔/콘도,O01A01,호텔/콘도,,,11,서울특별시,11140,중구,1114012500,충무로2가,"서울특별시 중구 충무로2가 62-2","서울특별시 중구 명동8가길 38",100861,4537,""126.987135845461"",""37.5616564099961""
22825660,신수학,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,"일반 교과 학원",11,서울특별시,11680,강남구,1168010700,신사동,"서울특별시 강남구 신사동 577","서울특별시 강남구 논현로175길 25",135891,6030,""127.026634390165"",""37.5254331371873""
22838864,김종서성형,,S,의료,S01,병원,S01B08,정형/성형외과,Q86201,"일반 의원",11,서울특별시,11680,강남구,1168010700,신사동,"서울특별시 강남구 신사동 599","서울특별시 강남구 논현로 842",135893,6025,""127.028711667682"",""37.5240265784064""
23185389,에이급수학,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,"일반 교과 학원",11,서울특별시,11740,강동구,1174010600,둔촌동,"서울특별시 강동구 둔촌동 39-15","서울특별시 강동구 명일로10길 23",134060,5366,""127.145195919498"",""37.531694054274""
22831748,씽크붙박이장,,D,소매,D07,가정/주방/인테리어,D07A17,주방가구판매,G47520,"가구 소매업",11,서울특별시,11215,광진구,1121510900,군자동,"서울특별시 광진구 군자동 355-5","서울특별시 광진구 동일로 190",143840,5003,""127.068113973231"",""37.5487085043471""
23014550,우리탕,,F,생활서비스,F09,대중목욕탕/휴게,F09A01,욕탕업-종합,S96121,욕탕업,26,부산광역시,26290,남구,2629010600,대연동,"부산광역시 남구 대연동 1459-2","부산광역시 남구 못골로53번길 34",608020,48438,""129.088611799042"",""35.1373614548381""
23086618,지원목욕탕,,F,생활서비스,F09,대중목욕탕/휴게,F09A01,욕탕업-종합,S96121,욕탕업,26,부산광역시,26260,동래구,2626010800,온천동,"부산광역시 동래구 온천동 1441-37","부산광역시 동래구 중앙대로1307번길 40",607060,47824,""129.075774511794"",""35.2041247757424""
23292145,히트왁싱,,F,생활서비스,F01,이/미용/건강,F01A03,비만/피부관리,,,11,서울특별시,11170,용산구,1117013000,이태원동,"서울특별시 용산구 이태원동 549","서울특별시 용산구 녹사평대로40길 31",140200,4345,""126.987590558189"",""37.5347370898545""
23159194,카페크레마,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,"비알콜 음료점업",26,부산광역시,26710,기장군,2671025622,정관읍,"부산광역시 기장군 정관읍 매학리 719-1","부산광역시 기장군 정관읍 정관6로 5-20",619963,46017,""129.175380183702"",""35.3205025110309""
23177140,좋고좋고숯불구이집,,Q,음식,Q01,한식,Q01A02,갈비/삼겹살,I56111,"한식 음식점업",26,부산광역시,26350,해운대구,2635010800,송정동,"부산광역시 해운대구 송정동 417-5","부산광역시 해운대구 송정중앙로 10",612040,48072,""129.201947574487"",""35.183342205493""
23225450,또와식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,"한식 음식점업",11,서울특별시,11230,동대문구,1123010900,휘경동,"서울특별시 동대문구 휘경동 163-9","서울특별시 동대문구 휘경로14길 15-1",130090,2432,""127.063285253202"",""37.5945155482507""
23177970,대치휴게소,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,"비알콜 음료점업",11,서울특별시,11680,강남구,1168010600,대치동,"서울특별시 강남구 대치동 931-25","서울특별시 강남구 삼성로 319",135280,6203,""127.059713096918"",""37.5003274192559""
23255127,악스카페테리아,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,"비알콜 음료점업",11,서울특별시,11215,광진구,1121510400,광장동,"서울특별시 광진구 광장동 319-33","서울특별시 광진구 구천면로 20",143807,4970,""127.107951436124"",""37.5457183340134""
23189657,최경화헤어라인,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11380,은평구,1138010500,구산동,"서울특별시 은평구 구산동 1-24","서울특별시 은평구 서오릉로 145",122819,3412,""126.916455099921"",""37.611279528774""
23189734,황금면옥,,Q,음식,Q01,한식,Q01A19,냉면집,I56111,"한식 음식점업",26,부산광역시,26380,사하구,2638010100,괴정동,"부산광역시 사하구 괴정동 436-29","부산광역시 사하구 사하로198번길 29",604080,49355,""128.995193087276"",""35.0999901821053""
23300935,태후사랑,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11170,용산구,1117012100,용문동,"서울특별시 용산구 용문동 32-23","서울특별시 용산구 새창로 98",140832,4356,""126.959431599955"",""37.5385560307284""
23079088,선경사,,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,S96912,"가정용 세탁업",11,서울특별시,11380,은평구,1138011000,증산동,"서울특별시 은평구 증산동 185-17","서울특별시 은평구 증산서길 68",122938,3500,""126.905798436584"",""37.582573446465""
23229410,뽀송뽀송빨래방,,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,S96912,"가정용 세탁업",11,서울특별시,11740,강동구,1174010700,암사동,"서울특별시 강동구 암사동 489-77","서울특별시 강동구 구천면로47길 17",134050,5265,""127.134757324002"",""37.5489183100983""
23220582,세이브헤어,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11530,구로구,1153010200,구로동,"서울특별시 구로구 구로동 1263","서울특별시 구로구 새말로 31",152770,8291,""126.882759872564"",""37.5028500605707""
23220629,버거킹연희점,연희점,Q,음식,Q07,패스트푸드,Q07A04,패스트푸드,I56199,"그외 기타 음식점업",11,서울특별시,11410,서대문구,1141011700,연희동,"서울특별시 서대문구 연희동 188-2","서울특별시 서대문구 연희로 97",120825,3708,""126.930502161135"",""37.566797454407""
23150939,세피앙,,O,숙박,O02,모텔/여관/여인숙,O02A01,모텔/여관/여인숙,I55112,여관업,11,서울특별시,11110,종로구,1111013300,익선동,"서울특별시 종로구 익선동 80","서울특별시 종로구 돈화문로11가길 49",110340,3132,""126.990444980106"",""37.574776894613""
23244219,mvp베이스볼아카데미,,R,학문/교육,R07,학원-예능취미체육,R07A17,학원-스포츠/재즈댄스,P85612,"레크레이션 교육기관",11,서울특별시,11710,송파구,1171010500,석촌동,"서울특별시 송파구 석촌동 252-1","서울특별시 송파구 가락로 58",138845,5695,""127.102925381542"",""37.4995461621229""
23268224,나르시스스킨케어,,F,생활서비스,F01,이/미용/건강,F01A03,비만/피부관리,,,26,부산광역시,26410,금정구,2641010800,장전동,"부산광역시 금정구 장전동 541-26","부산광역시 금정구 금강로 200",609393,46297,""129.082701238784"",""35.2262370238462""
23008623,제일,,F,생활서비스,F02,세탁/가사서비스,F02A01,세탁소/빨래방,S96912,"가정용 세탁업",11,서울특별시,11290,성북구,1129013900,석관동,"서울특별시 성북구 석관동 338-376","서울특별시 성북구 화랑로22가길 42",136820,2791,""127.052874051193"",""37.6073804280876""
23139031,모던이용원,,F,생활서비스,F01,이/미용/건강,F01A04,남성미용실,S96111,이용업,26,부산광역시,26290,남구,2629010600,대연동,"부산광역시 남구 대연동 245","부산광역시 남구 황령대로319번가길 190-6",608755,48426,""129.089036373829"",""35.1511128699196""
23019702,영네일,,F,생활서비스,F01,이/미용/건강,F01A02,발/네일케어,S96119,기타미용업,26,부산광역시,26470,연제구,2647010100,거제동,"부산광역시 연제구 거제동 891-14","부산광역시 연제구 아시아드대로 95",611070,47501,""129.066604088233"",""35.1931729441437""
23246858,김상하수학학원,,R,학문/교육,R01,학원-보습교습입시,R01A01,학원-입시,P85501,"일반 교과 학원",11,서울특별시,11260,중랑구,1126010500,망우동,"서울특별시 중랑구 망우동 470-10","서울특별시 중랑구 망우로 410",131230,2164,""127.097576634211"",""37.5989905977884""
23053488,남산장,,O,숙박,O02,모텔/여관/여인숙,O02A01,모텔/여관/여인숙,I55112,여관업,11,서울특별시,11170,용산구,1117013100,한남동,"서울특별시 용산구 한남동 683-138","서울특별시 용산구 이태원로 256",140892,4400,""127.001257809828"",""37.537358383301""
23233730,오늘헤어,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11380,은평구,1138010300,불광동,"서울특별시 은평구 불광동 645","서울특별시 은평구 불광로 64",122040,3364,""126.932456180587"",""37.6130742552187""
23233746,수미용실,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11620,관악구,1162010200,신림동,"서울특별시 관악구 신림동 1576-16","서울특별시 관악구 남부순환로 1534",151899,8773,""126.921050383543"",""37.4827432164394""
23299100,OB베어,,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,I56219,"기타 주점업",11,서울특별시,11440,마포구,1144012200,합정동,"서울특별시 마포구 합정동 388-1","서울특별시 마포구 월드컵로3길 35",121885,4025,""126.910775684244"",""37.5502272223367""
23299190,연세피아노음악원,,R,학문/교육,R05,학원-음악미술무용,R05A02,피아노/바이올린/기타,P85620,"예술 학원",11,서울특별시,11710,송파구,1171010400,송파동,"서울특별시 송파구 송파동 54-13","서울특별시 송파구 백제고분로45길 22-1",138170,5619,""127.109144551531"",""37.5101085917663""
23211489,쉐이핏,,F,생활서비스,F01,이/미용/건강,F01A03,비만/피부관리,,,11,서울특별시,11440,마포구,1144011000,노고산동,"서울특별시 마포구 노고산동 57-4","서울특별시 마포구 신촌로 92",121807,4058,""126.935659570451"",""37.5551665979216""
23011076,아라우나,,S,의료,S04,수의업,S04A02,동물병원,M73100,수의업,11,서울특별시,11215,광진구,1121510500,자양동,"서울특별시 광진구 자양동 553-531","서울특별시 광진구 뚝섬로 548",143190,5090,""127.070859906318"",""37.5344484758055""
23042123,블루컷,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,11,서울특별시,11215,광진구,1121510100,중곡동,"서울특별시 광진구 중곡동 114-18","서울특별시 광진구 자양로43길 58",143220,4953,""127.090151141172"",""37.5531153113258""
23154149,에프엠남성헤어샵,,F,생활서비스,F01,이/미용/건강,F01A04,남성미용실,S96111,이용업,11,서울특별시,11215,광진구,1121510500,자양동,"서울특별시 광진구 자양동 512-3","서울특별시 광진구 능동로8길 22",143190,5070,""127.070339398799"",""37.5362735159498""
